Lend,during the 46 days before Easter,イースターの前の46日間,受苦節
Ash Wednesday,46 days before easter,イースターの46日前,灰の水曜日
Quadragesima Sunday,42 days before easter,イースターの42日前,四旬節第二主日
Mothering Sunday,21 days before easter,イースターの21日前,母の日
Passion tide,during the 14 days before Easter,イースターの前の14日間,受難節
Passion Sunday,14 days before easter,イースターの14日前,受難の主日
Holy Week,during the 7 days before Easter,イースターの前の7日間,受難週
Palm Sunday,7 days before easter,イースターの7日前,棕櫚の主日
Maunday Thursday,three days before easter,イースターの3日前,洗足木曜目
Good Friday,two days before easter,イースターの2日前,受難日
Black Saturday,one day before easter,,イースターの1日前,聖大土曜日
Easter Monday,one day after easter,イースターの1日後,イースターマンデー
Low Sunday,7 days after easter,イースターの7日後,白衣の主日
Rogation Sunday,35 days after easter,イースターの35日後,大小祈願祭
Ascension Day,39 days after easter,イースターの39日後,昇天日
Pentecost,49 days after easter,イースターの49日後,ペンテコステ
